File Name,"Pixels"
"01_inv (1).png",60.503819306413696
"01_inv (2).png",384.55634034249
"01_inv (3).png",315.50872564212733
"01_inv (4).png",1058.3291387602287
"05_inv (5).png",53.35378759137306
"05_inv (6).png",339.2426318435047
"05_inv (7).png",302.6711395993663
"05_inv (8).png",1051.0359384034678
"03_inv (9).png",59.922054121489786
"03_inv (10).png",351.1543289325509
"03_inv (11).png",277.8158516708248
"03_inv (12).png",1071.5131855638708
"02_inv (13).png",337.6295090390237
"02_inv (14).png",268.82841828113163
"02_inv (15).png",1114.7546125594474
"04_inv (16).png",56.049622099825456
"04_inv (17).png",363.78136378541905
"04_inv (18).png",315.3288831245605
"04_inv (19).png",1080.6888347641398
"06_inv (20).png",48.56228025207397
"06_inv (21).png",389.57152381167964
"06_inv (22).png",341.0446118770984
"06_inv (23).png",1189.8045474604544
"07_inv (24).png",52.756738035545155
"07_inv (25).png",406.09716238113714
"07_inv (26).png",303.4406479906319
"07_inv (27).png",1082.1434551098362
"08_inv (28).png",55.70518271320811
"08_inv (29).png",360.8994860929973
"08_inv (30).png",255.49952249367723
"08_inv (31).png",1046.057615580603
"09_inv (32).png",48.18561555016248
"09_inv (33).png",342.25276467881184
"09_inv (34).png",307.97078777725795
"09_inv (35).png",1025.0073335775528
"10_inv (36).png",381.43339741416344
"10_inv (37).png",326.9827472136828
"10_inv (38).png",1074.648939151529
"11_inv (39).png",54.401787507686294
"11_inv (40).png",352.44831045906284
"11_inv (41).png",279.4376578302617
"11_inv (42).png",1093.6079410889326
"12_inv (43).png",53.216732622361256
"12_inv (44).png",408.9538682224887
"12_inv (45).png",320.95213876434843
"12_inv (46).png",1082.0076009222257
"13_inv (47).png",64.82442169122237
"13_inv (48).png",324.79275919791456
"13_inv (49).png",296.2750790387934
"13_inv (50).png",1104.4263826563615
"14_inv (51).png",68.00406880322905
"14_inv (52).png",344.0680649886016
"14_inv (53).png",302.0528815194115
"14_inv (54).png",1076.3604797309463
"15_inv (55).png",66.4654230511961
"15_inv (56).png",367.03914753057245
"15_inv (57).png",309.57413370190676
"15_inv (58).png",1128.0700837378602
"16_inv (59).png",69.3584422718605
"16_inv (60).png",367.14511694048656
"16_inv (61).png",320.32458615656674
"16_inv (62).png",1084.878423117603
"17_inv (63).png",54.57728081299852
"17_inv (64).png",339.50461735799547
"17_inv (65).png",296.4721457156678
"17_inv (66).png",1137.2357461379338
"18_inv (67).png",59.15759091056648
"18_inv (68).png",373.7290805962755
"18_inv (69).png",307.0802582974215
"18_inv (70).png",1094.8704938174656
"20_inv (71).png",70.71623588313773
"20_inv (72).png",382.7978098317975
"20_inv (73).png",290.95031598251035
"20_inv (74).png",1206.7646513907332
"19_inv (75).png",52.11600076137939
"19_inv (76).png",358.75230867899774
"19_inv (77).png",308.6770795089507
"19_inv (78).png",1202.34121666963
