pic,inv
001 (1).png,62.4678222844448
001 (2).png,370.061855819801
001 (3).png,310.306556980433
001 (4).png,1108.30571903958
002 (5).png,55.0966199183578
002 (6).png,327.920113280953
002 (7).png,281.45167392092
003 (8).png,42.0121933088198
003 (9).png,420.970553904863
003 (10).png,287.912237662146
004 (11).png,48.8284271247462
004 (12).png,371.126050215946
004 (13).png,299.001158534917
004 (14).png,1038.925192
005 (15).png,53.9678990539481
005 (16).png,388.044611877098
005 (17).png,311.593436243164
005 (18).png,1093.23037359367
