001 (1).png,62.46782228444481;;;;001_gre (1).png,65.08246404993162;;;;
001 (2).png,370.06185581980105;;;;001_gre (2).png,371.2670273047591;;;;
001 (3).png,310.3065569804334;;;;001_gre (3).png,312.632085486751;;;;
001 (4).png,1108.3057190395846;;;;001_gre (4).png,1108.081978863847;;;;
002 (5).png,55.09661991835777;;;;002_gre (5).png,55.27219728500335;;;;
002 (6).png,327.92011328095316;;;;002_gre (6).png,330.4736286385185;;;;
002 (7).png,281.4516739209197;;;;002_gre (7).png,274.16674727015135;;;;
003 (8).png,42.012193308819754;;;;003_gre (9).png,24.082877031262946;;;;
003 (9).png,420.970553904863;;;;003_gre (10).png,441.35533021571325;;;;
003 (10).png,287.9122376621456;;;;003_gre (11).png,292.5075671072097;;;;
004 (11).png,48.828427124746185;;;;004_gre (13).png,34.48269877093174;;;;
004 (12).png,371.1260502159459;;;;004_gre (14).png,385.28426240384806;;;;
004 (13).png,299.00115853491724;;;;004_gre (15).png,302.00115853491724;;;;
004 (14).png,1038.9251919999963;;;;004_gre (16).png,1040.2332881221048;;;;
005 (15).png,53.967899053948116;;;;005_gre (17).png,32.70966317351825;;;;
005 (16).png,388.0446118770985;;;;005_gre (18).png,415.5546817974745;;;;
005 (17).png,311.5934362431638;;;;005_gre (19).png,322.9172794524145;;;;
005 (18).png,1093.2303735936703;;;;005_gre (20).png,1083.7215488231782;;;;was difficult to detect
