ID,sex,morph
G21-0372-B6.5,1,I
G21-0373-B6.5,1,I
G21-0374-B6.5,1,S
G21-0375-B6.5,1,I
G21-0376-B6.5,1,I
G21-0377-B6.5,1,I
G21-0378-B6.5,1,I
G21-0379-B5.5,0,I
G21-0379-B6.5,1,I
G21-0380-B5.5,0,I
G21-0380-B6.5,1,I
G21-0381-B5.5,0,S
G21-0381-B6.5,1,I
G21-0382-B5.5,0,I
G21-0382-B6.5,1,S
G21-0383-B5.5,0,F
G21-0383-B6.5,1,S
G21-0384-B5.5,0,I
G21-0384-B6.5,1,I
G21-0385-B5.5,0,I
G21-0385-B6.5,1,I
G21-0386-B5.5,0,I
G21-0386-B6.5,1,I
G21-0387-B5.5,0,I
G21-0387-B6.5,1,I
G21-0388-B5.5,0,I
G21-0388-B6.5,1,I
G21-0389-B5.5,0,I
G21-0389-B6.5,1,I
G21-0390-B5.5,0,I
G21-0390-B6.5,1,I
G21-0391-B5.5,0,I
G21-0391-B6.5,1,I
G21-0392-B5.5,0,I
G21-0392-B6.5,1,I
G21-0393-B5.5,0,I
G21-0393-B6.5,1,I
G21-0394-B5.5,0,I
G21-0394-B6.5,1,S
G21-0395-B5.5,0,I
G21-0395-B6.5,1,S
G21-0396-B5.5,0,I
G21-0396-B6.5,1,I
G21-0397-B5.5,0,I
G21-0397-B6.5,1,S
G21-0398-B5.5,0,I
G21-0398-B6.5,1,I
G21-0399-B5.5,0,I
G21-0400-B5.5,0,I
G21-0401-B5.5,0,I
G21-0402-B5.5,0,I
G21-0403-B5.5,0,I
G21-0404-B5.5,0,I
G21-0405-B5.5,0,I
G21-0406-B5.5,0,I
G21-0407-B5.5,0,I
G21-0408-B5.5,0,I
G21-0409-B5.5,0,I
G21-0410-B5.5,0,I
G21-0411-B5.5,0,I
G21-0412-B5.5,0,I
G21-0413-B5.5,0,I
G21-0414-B5.5,0,I
G21-0673-B6.5,1,I
G21-0674-B6.5,1,I
G21-0675-B6.5,1,I
G21-0676-B6.5,1,S
G21-0677-B6.5,1,I
G21-0678-B6.5,1,I
G21-0679-B6.5,1,I
G20-0136-B6.0,0,I
G20-0057-B6.5,1,S
G20-0279-B5.5,0,I
G20-0054-B6.5,1,I
G20-0066-B6.5,1,S
G20-0286-B5.5,0,S
G20-0072-B6.5,1,I
G20-0526-B6.5,1,S
G20-0288-B5.5,0,I
G20-0528-B6.5,1,S
G20-0530-B6.5,1,I
012,0,I
013,0,I
014,0,I
066,1,I
067,1,I
G14-209-6.0,1,
G13-230-5.5,0,
G20-570-6.0,0,
G20-834-5.5,0,
